,編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
366,RPVNMLQKOHOFFBJ86CA,水瀧段,10.86,都市：商,10000,29,持分移轉,15260000
367,RPWNMLQKOHOFFBJ96CA,水瀧段,10.86,都市：商,10000,29,持分移轉,15260000
368,RPXNMLQKOHOFFBJ07CA,水瀧段,10.86,都市：商,10000,29,持分移轉,15260000
369,RPPOMLQKOHOFFBJ98CA,水瀧段,10.86,都市：商,10000,29,持分移轉,15260000
370,RPQOMLQKOHOFFBJ09CA,水瀧段,10.86,都市：商,10000,29,持分移轉,15260000
371,RPROMLQKOHOFFBJ56CA,水瀧段,10.86,都市：商,10000,29,持分移轉,15260000
372,RPTOMLQKOHOFFBJ76CA,水瀧段,11.61,都市：商,10000,31,持分移轉,15260000
373,RPUOMLQKOHOFFBJ86CA,水瀧段,11.61,都市：商,10000,31,持分移轉,15260000
374,RPVOMLQKOHOFFBJ96CA,水瀧段,11.61,都市：商,10000,31,持分移轉,15260000
375,RPWOMLQKOHOFFBJ07CA,水瀧段,11.61,都市：商,10000,31,持分移轉,15260000
376,RPXOMLQKOHOFFBJ17CA,水瀧段,11.61,都市：商,10000,31,持分移轉,15260000
377,RPOPMLQKOHOFFBJ98CA,水瀧段,11.23,都市：商,10000,30,持分移轉,15260000
378,RPQPMLQKOHOFFBJ56CA,水瀧段,11.61,都市：商,10000,31,持分移轉,15260000
379,RPRPMLQKOHOFFBJ66CA,水瀧段,11.61,都市：商,10000,31,持分移轉,15260000
380,RPSPMLQKOHOFFBJ76CA,水瀧段,11.61,都市：商,10000,31,持分移轉,15260000
381,RPTPMLQKOHOFFBJ86CA,水瀧段,11.61,都市：商,10000,31,持分移轉,15260000
382,RPPNMLRKOHOFFBJ98CA,水瀧段,11.61,都市：商,10000,31,持分移轉,15260000
383,RPQNMLRKOHOFFBJ09CA,水瀧段,11.61,都市：商,10000,31,持分移轉,15260000
384,RPRNMLRKOHOFFBJ56CA,水瀧段,11.61,都市：商,10000,31,持分移轉,15260000
385,RPSNMLRKOHOFFBJ66CA,水瀧段,11.61,都市：商,10000,31,持分移轉,15260000
386,RPWSMLTKOHOFFBJ77CA,水瀧段,16.1,都市：商,10000,43,持分移轉,15260000
387,RPPNMLKLOHOFFBJ38CA,水瀧段,16.1,都市：商,10000,43,持分移轉,15260000
