,編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
847,RPTPMLKLOHOFFBJ98CA,3.0,0.17,住家用,鋼筋混凝土造,105年6月28日,十四層,一層
848,RPRNMLLLOHOFFBJ68CA,nan,80.34,店舖、集合住宅,鋼筋混凝土造,108年4月16日,二十四層,一層 陽台 見其他登記事項
849,RPRNMLLLOHOFFBJ68CA,nan,47.7,本共有部分之項目有停車空間、防空避難室兼停車空間、管委會空間、防災空間等四項。,鋼筋混凝土造,108年4月16日,二十四層,nan
850,RPRNMLLLOHOFFBJ68CA,nan,18.01,本共有部分之項目有梯間、機房、水箱等三項。,鋼筋混凝土造,108年4月16日,二十四層,nan
851,RPVPMLLLOHOFFBJ66CA,nan,66.01,住家用,鋼筋混凝土造,108年4月16日,二十四層,七層 陽台
852,RPVPMLLLOHOFFBJ66CA,nan,44.25,本共有部分之項目有停車空間、防空避難室兼停車空間、管委會空間、防災空間等四項。,鋼筋混凝土造,108年4月16日,二十四層,nan
853,RPVPMLLLOHOFFBJ66CA,nan,14.78,本共有部分之項目有梯間、機房、水箱等三項。,鋼筋混凝土造,108年4月16日,二十四層,nan
854,RPWPMLLLOHOFFBJ76CA,nan,66.01,住家用,鋼筋混凝土造,108年4月16日,二十四層,八層 陽台
855,RPWPMLLLOHOFFBJ76CA,nan,44.25,本共有部分之項目有停車空間、防空避難室兼停車空間、管委會空間、防災空間等四項。,鋼筋混凝土造,108年4月16日,二十四層,nan
856,RPWPMLLLOHOFFBJ76CA,nan,14.78,本共有部分之項目有梯間、機房、水箱等三項。,鋼筋混凝土造,108年4月16日,二十四層,nan
857,RPRPMLLLOHOFFBJ88CA,nan,96.5,住家用,鋼筋混凝土造,108年4月16日,二十四層,十九層 陽台
858,RPRPMLLLOHOFFBJ88CA,nan,51.69,本共有部分之項目有停車空間、防空避難室兼停車空間、管委會空間、防災空間等四項。,鋼筋混凝土造,108年4月16日,二十四層,nan
859,RPRPMLLLOHOFFBJ88CA,nan,21.6,本共有部分之項目有梯間、機房、水箱等三項。,鋼筋混凝土造,108年4月16日,二十四層,nan
860,RPOPMLLLOHOFFBJ58CA,nan,96.5,住家用,鋼筋混凝土造,108年4月16日,二十四層,十二層 陽台
861,RPOPMLLLOHOFFBJ58CA,nan,51.69,本共有部分之項目有停車空間、防空避難室兼停車空間、管委會空間、防災空間等四項。,鋼筋混凝土造,108年4月16日,二十四層,nan
862,RPOPMLLLOHOFFBJ58CA,nan,21.6,本共有部分之項目有梯間、機房、水箱等三項。,鋼筋混凝土造,108年4月16日,二十四層,nan
863,RPPPMLLLOHOFFBJ68CA,nan,96.5,住家用,鋼筋混凝土造,108年4月16日,二十四層,十七層 陽台
864,RPPPMLLLOHOFFBJ68CA,nan,51.69,本共有部分之項目有停車空間、防空避難室兼停車空間、管委會空間、防災空間等四項。,鋼筋混凝土造,108年4月16日,二十四層,nan
865,RPPPMLLLOHOFFBJ68CA,nan,21.6,本共有部分之項目有梯間、機房、水箱等三項。,鋼筋混凝土造,108年4月16日,二十四層,nan
866,RPPNMLRLOHOFFBJ09CA,nan,266.44,停車空間、集合住宅、梯間,鋼筋混凝土造,108年1月15日,五層,一層 二層 三層 四層 五層 陽台 屋頂突出物
867,RPPTMLRLOHOFFBJ07CA,nan,97.59,住家用,鋼筋混凝土造,108年4月16日,二十四層,六層 陽台
868,RPPTMLRLOHOFFBJ07CA,nan,51.95,本共有部分之項目有停車空間、防空避難室兼停車空間、管委會空間、防災空間等四項。,鋼筋混凝土造,108年4月16日,二十四層,nan
869,RPPTMLRLOHOFFBJ07CA,nan,21.86,本共有部分之項目有梯間、機房、水箱等三項。,鋼筋混凝土造,108年4月16日,二十四層,nan
870,RPTSMLRLOHOFFBJ37CA,nan,57.46,住家用,鋼筋混凝土造,108年4月16日,二十四層,十一層 陽台
871,RPTSMLRLOHOFFBJ37CA,nan,42.12,本共有部分之項目有停車空間、防空避難室兼停車空間、管委會空間、防災空間等四項。,鋼筋混凝土造,108年4月16日,二十四層,nan
872,RPTSMLRLOHOFFBJ37CA,nan,12.88,本共有部分之項目有梯間、機房、水箱等三項。,鋼筋混凝土造,108年4月16日,二十四層,nan
873,RPSNMLMJPHOFFBJ78CA,14.0,60.3,商業用,鋼筋混凝土造,1994年3月31日,十層,七層 陽台 見其他登記事項
874,RPSNMLMJPHOFFBJ78CA,14.0,9.91,共用部分,鋼筋混凝土造,1994年3月31日,十層,nan
875,RPSNMLMJPHOFFBJ78CA,14.0,6.33,共用部分,鋼筋混凝土造,1994年3月31日,十層,nan
