,鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
872,燕巢區,房地(土地+建物),高雄市燕巢區深興路１８２號,159.0,nan,鄉村區,乙種建築用地,1080510,土地1建物1車位0,全,二層,透天厝,住商用,加強磚造,630101.0,138.52,3,2,2,有,無,1500000,10829.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；,RPPNMLQLOHOFFFE88CA,138.52,0.0,0.0,nan,nan
873,左營區,房地(土地+建物),高雄市左營區重建路６２號九樓之１,7.52,商,nan,nan,1080503,土地1建物1車位0,九層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,931129.0,82.18,2,2,1,有,有,4000000,48674.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；,RPOOMLSJPHOFFEE88CA,50.95,7.74,0.0,nan,nan
874,左營區,房地(土地+建物)+車位,高雄市左營區文自路２０１巷４６號八樓,15.64,住,nan,nan,1080529,土地1建物1車位1,八層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,871106.0,133.47,3,2,2,有,有,7000000,52446.0,坡道平面,25.65,0,親友、員工或其他特殊關係間之交易。；,RPSNMLQLOHOFFEE09CA,68.33,12.98,0.0,nan,nan
875,楠梓區,房地(土地+建物),高雄市楠梓區右昌街１２５巷１７號,47.0,住,nan,nan,1080603,土地1建物1車位0,全,二層,透天厝,nan,加強磚造,610707.0,75.18,2,2,2,有,無,1443300,19198.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；,RPPPMLSKOHOFFEE09CA,75.18,0.0,0.0,nan,nan
876,左營區,房地(土地+建物),高雄市左營區自由三路394巷48號二樓,16.87,住,nan,nan,1080428,土地1建物1車位0,二層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,871113.0,115.15,3,2,2,有,有,5300000,46027.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；,RPQPMLTKOHOFFEE66CA,76.93,11.5,0.0,nan,nan
877,楠梓區,土地,楠都段一小段556地號,45.0,商,nan,nan,1080528,土地1建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,5522400,122720.0,nan,0.0,0,畸零地或有合併使用之交易。；向政府機關承購之案件。；,RPUNMLKLOHOFFEE68CA,0.0,0.0,0.0,nan,nan
878,楠梓區,房地(土地+建物),高雄市楠梓區樂群路２５３號,26.03,住,nan,nan,1080513,土地1建物1車位0,一層，騎樓，地下層,五層,公寓(5樓含以下無電梯),nan,鋼筋混凝土造,670607.0,116.09,2,0,1,有,無,5600000,48238.0,nan,0.0,0,nan,RPSNMLLLOHOFFEE58CA,116.09,0.0,0.0,nan,nan
879,楠梓區,房地(土地+建物),高雄市楠梓區翠屏路１１７號,143.28,住,nan,nan,1080610,土地1建物1車位0,一層，二層，三層，四層，五層，騎樓,五層,店面(店鋪),見其它登記事項,見其它登記事項,1071101.0,392.06,4,3,6,有,無,32000000,81620.0,nan,0.0,0,有電梯,RPSQMLLLOHOFFEE88CA,351.45,40.61,0.0,nan,nan
880,三民區,土地,中華段一小段155地號,66.6,其他,nan,nan,1080506,土地1建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,7600000,114114.0,nan,0.0,0,包含公共設施保留地之交易。；,RPQNMLTLOHOFFDE09CA,0.0,0.0,0.0,nan,nan
881,三民區,房地(土地+建物),高雄市三民區瀋陽街１４５巷３０號,34.3,其他,nan,nan,1080527,土地1建物1車位0,全,二層,透天厝,nan,加強磚造,600219.0,28.91,2,1,1,有,無,2173155,75170.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；,RPRNMLTKOHOFFDE09CA,28.91,0.0,0.0,nan,nan
882,小港區,房地(土地+建物),高雄市小港區高坪５８街２０２號,98.29,住,nan,nan,1080501,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,930304.0,142.14,3,2,3,有,無,2800000,19699.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；,RPPNMLTKOHOFFCE78CA,129.96,12.18,0.0,nan,nan
883,小港區,土地,坪北段194-3地號,330.17,住,nan,nan,1080515,土地2建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,3135807,9498.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；含增建或未登記建物。；,RPWPMLTKOHOFFCE07CA,0.0,0.0,0.0,nan,nan
884,前鎮區,房地(土地+建物),高雄市前鎮區一心二路４８號五樓,11.32,商,nan,nan,1080603,土地0建物1車位0,五層,十二層,住宅大樓(11層含以上有電梯),nan,鋼筋混凝土造,721215.0,92.58,3,2,1,有,有,3680000,39749.0,nan,0.0,0,nan,RPQOMLKLOHOFFCE18CA,68.11,7.7,0.0,nan,nan
