,編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
1218,RPXNMLMKPHOFFGE76CA,1.0,46.26,本共有部分之項目有停車空間，防空避難室兼停車空間，梯間，門廳，公共服務空間，管委會使用空間，樓梯間，機械室，水箱等項。,鋼筋混凝土,107年6月20日,十五層,nan
1219,RPROMLLJPHOFFJE98CA,25.0,163.26,住家用,加強磚造,1983年3月18日,二層,一層 二層 陽台 屋頂突出物
1220,RPROMLLJPHOFFJE98CA,25.0,163.26,住家用,加強磚造,1983年3月18日,二層,一層 二層 陽台 屋頂突出物
1221,RPWNMLMJPHOFFBE78DA,40.0,30.06,nan,鋼筋混凝土造,1968年3月15日,十一層,六層
1222,RPWNMLMJPHOFFBE78DA,40.0,3.6,nan,鋼筋混凝土造,1968年3月15日,十一層,nan
1223,RPTOMLMJPHOFFCE68DA,17.0,102.66,住家用,鋼筋混凝土造,1991年6月19日,十四層,四層 陽台
1224,RPTOMLMJPHOFFCE68DA,17.0,43.1,共有部份,鋼筋混凝土造,1991年6月19日,十四層,nan
1225,RPTNMLKKPHOFFGE88DA,nan,86.95,集合住宅,鋼筋混凝土,104年10月15日,十五層,十層 陽台 雨遮
1226,RPTNMLKKPHOFFGE88DA,nan,100.04,本共有部份之項目有防空避難室兼停車空間、公共服務空間、垃圾儲存空間、管理委員會使用空間、車道、梯間、機械房、樓梯間、水箱等９項。,鋼筋混凝土,104年10月15日,nan,nan
1227,RPTNMLPJPHOFFJE86CA,13.0,160.04,住家用,加強磚造,1995年10月26日,二層,一層 二層 陽台
1228,RPRNMLMLPHOFFIE09CA,12.0,163.38,廠房,鋼骨構造,1996年9月6日,一層,一層
1229,RPOOMLNJPHOFFGE58CA,23.0,148.93,住商用,鋼筋混凝土造,1985年4月6日,十二層,一層 二層 陽台 騎樓
1230,RPOOMLNJPHOFFGE58CA,23.0,20.07,共有部份,鋼筋混凝土造,1985年4月6日,十二層,nan
1231,RPXNMLOJPHOFFGE86CA,37.0,72.06,住商用,鋼筋混凝土造,1971年12月8日,五層,一層 騎樓
1232,RPVOMLOJPHOFFGE76CA,11.0,139.91,集合住宅,鋼筋混凝土,1996年12月15日,二十八層,二十七層 二十八層 陽台 雨遮
1233,RPVOMLOJPHOFFGE76CA,11.0,94.64,防空避難室兼停車空間、供管委會使用空間、門廳、車道、門廊、防災中心、樓梯間、機械室、水箱、停車空間,鋼筋混凝土,1996年12月15日,二十八層,nan
1234,RPRNMLSKPHOFFFE66CA,25.0,91.69,住家用,鋼筋混凝土造,1983年6月8日,十二層,二層 陽台
1235,RPRNMLSKPHOFFFE66CA,25.0,40.72,共有部份,鋼筋混凝土造,1983年6月8日,十二層,nan
1236,RPTNMLQLPHOFFFE76CA,1.0,53.08,集合住宅,鋼筋混凝土造,107年6月28日,十五層,四層 陽台
1237,RPTNMLQLPHOFFFE76CA,1.0,45.34,本共有部分之項目有防空避難室兼停車空間、頂蓋型沿街步道式開放空間、門廊、管委員會使用空間、車道、樓梯間、水箱、電梯間、機械室等９項。,鋼筋混凝土造,107年6月28日,十五層,nan
1238,RPUOMLPKPHOFFEE66CA,nan,95.79,集合住宅,鋼筋混凝土,107年10月31日,十四層,十二層 陽台
1239,RPUOMLPKPHOFFEE66CA,nan,90.91,本共有部分之項目包括：防空避難室兼停車空間、門廳、垃圾暫存室、車道、樓梯間、管委會使用空間、機械室、水箱等８項,鋼筋混凝土,107年10月31日,十四層,nan
1240,RPVNMLNJPHOFFEE98CA,24.0,129.86,住家用,鋼筋混凝土造,1984年7月20日,七層,五層 陽台 電梯樓梯間
1241,RPVNMLNJPHOFFEE98CA,24.0,13.05,見使用執照,鋼筋混凝土造,1984年7月20日,七層,nan
1242,RPPNMLTJPHOFFDE88CA,20.0,202.07,住家用,鋼筋混凝土造,1988年10月28日,十三層,一層 二層 三層 陽台 夾層
1243,RPPNMLTJPHOFFDE88CA,20.0,86.85,見使用執照,鋼筋混凝土造,1988年10月28日,十三層,nan
1244,RPTNMLKKPHOFFCE38CA,35.0,72.28,nan,鋼筋混凝土造,1973年6月21日,五層,三層 陽台
1245,RPTNMLKKPHOFFCE38CA,35.0,10.72,見使用執照,鋼筋混凝土造,1973年6月21日,0,nan
1246,RPXOMLPKPHOFFAE56CA,39.0,72.21,nan,鋼筋混凝土造,1969年8月20日,十二層,九層
1247,RPXOMLPKPHOFFAE56CA,38.0,19.45,nan,鋼筋混凝土造,1970年6月19日,十層,五層
1248,RPXOMLPKPHOFFAE56CA,38.0,44.01,nan,鋼筋混凝土造,1970年6月19日,十層,五層
1249,RPXOMLPKPHOFFAE56CA,39.0,64.74,nan,鋼筋混凝土造,1969年8月20日,十二層,九層
1250,RPXOMLPKPHOFFAE56CA,39.0,65.09,nan,鋼筋混凝土造,1969年8月20日,十二層,九層
1251,RPXOMLPKPHOFFAE56CA,39.0,83.79,nan,鋼筋混凝土造,1969年8月20日,十二層,九層
1252,RPXOMLPKPHOFFAE56CA,29.0,123.37,住家用,鋼筋混凝土造,1979年1月4日,十二層,十一層 陽台
1253,RPXOMLPKPHOFFAE56CA,38.0,4.03,nan,鋼筋混凝土造,1970年6月19日,十層,nan
1254,RPXOMLPKPHOFFAE56CA,38.0,9.3,nan,鋼筋混凝土造,1970年6月19日,十層,nan
1255,RPXOMLPKPHOFFAE56CA,29.0,41.04,見使用執照,鋼筋混凝土造,1979年1月4日,十二層,nan
1256,RPXOMLPKPHOFFAE56CA,39.0,15.14,nan,鋼筋混凝土造,1969年8月20日,十二層,nan
1257,RPXOMLPKPHOFFAE56CA,39.0,15.23,nan,鋼筋混凝土造,1969年8月20日,十二層,nan
1258,RPXOMLPKPHOFFAE56CA,39.0,16.8,nan,鋼筋混凝土造,1969年8月20日,十二層,nan
1259,RPXOMLPKPHOFFAE56CA,39.0,19.51,nan,鋼筋混凝土造,1969年8月20日,十二層,nan
1260,RPSNMLKKPHOFFAE08CA,36.0,104.27,nan,鋼筋混凝土造,1972年6月20日,五層,一層 二層 陽台 騎樓
1261,RPQOMLLJQHOFFBE18CA,31.0,133.5,nan,鋼筋混凝土造,1977年7月15日,五層,一層 陽台 平台 夾層
1262,RPQNMLOKPHOFFCE48CA,49.0,95.22,住商用,加強磚造,1959年3月10日,二層,一層 二層 騎樓
1263,RPUNMLTJPHOFFCE66CA,49.0,73.09,住家用,加強磚造,1959年3月10日,二層,一層 二層
1264,RPUNMLSJPHOFFEE76CA,8.0,217.81,住商用,鋼筋混凝土造,100年9月16日,四層,一層 二層 三層 四層 陽台 屋頂突出物 雨遮
1265,RPPNMLTKPHOFFGE66CA,38.0,190.6,住商用,鋼筋混凝土造,1970年3月30日,三層,一層 二層 三層 騎樓 地下層
1266,RPRNMLTJPHOFFLE27CA,36.0,2619.69,工業用,見使用執照,1972年7月27日,一層,一層 地下層
1267,RPSNMLPJPHOFFLE96CA,15.0,79.32,住商用,鋼骨構造,1993年4月29日,二層,一層 二層 騎樓
1268,RPPNMLTJPHOFFJE86CA,39.0,101.92,住商用,加強磚造,1969年10月20日,二層,一層 二層 騎樓
1269,RPQNMLOLPHOFFJE66CA,25.0,76.38,農舍,鋼造,1983年8月31日,一層,一層
1270,RPVNMLSJPHOFFGE07CA,45.0,22.67,住家用,加強磚造,1963年3月23日,二層,一層 二層
1271,RPVNMLSJPHOFFGE07CA,45.0,22.67,住家用,加強磚造,1963年3月23日,二層,一層 二層
1272,RPVNMLSJPHOFFGE07CA,45.0,22.67,住家用,加強磚造,1963年3月23日,二層,一層 二層
1273,RPVNMLTJPHOFFGE17CA,23.0,92.26,住家用,鋼筋混凝土造,1985年1月24日,七層,六層 陽台
1274,RPVNMLTJPHOFFGE17CA,23.0,0.09,商業用,鋼筋混凝土造,1985年1月24日,七層,一層 平台 騎樓
1275,RPVNMLTJPHOFFGE17CA,23.0,0.09,商業用,鋼筋混凝土造,1985年1月24日,七層,一層 平台 騎樓
1276,RPVNMLTJPHOFFGE17CA,23.0,32.13,共有部份,鋼筋混凝土造,1985年1月24日,七層,nan
1277,RPVNMLTJPHOFFGE17CA,23.0,0.03,共有部份,鋼筋混凝土造,1985年1月24日,七層,nan
1278,RPVNMLTJPHOFFGE17CA,23.0,0.03,共有部份,鋼筋混凝土造,1985年1月24日,七層,nan
1279,RPQRMLQKPHOFFEE66CA,24.0,97.4,住商用,鋼筋混凝土造,1984年1月26日,十三層,一層 二層 平台 騎樓 露台 花台
1280,RPQRMLQKPHOFFEE66CA,24.0,15.4,見使用執照,鋼筋混凝土造,1984年1月26日,十三層,nan
1281,RPVNMLLKPHOFFEE88CA,37.0,92.74,nan,加強磚造,1970年12月30日,二層,一層 二層 騎樓 夾層
1282,RPTNMLQKPHOFFDE09CA,26.0,101.42,住家用,鋼筋混凝土造,1982年9月27日,十四層,四層 陽台 電梯樓梯間
1283,RPTNMLQKPHOFFDE09CA,26.0,14.63,見使用執照,鋼筋混凝土造,1982年9月27日,十四層,nan
1284,RPWOMLOJPHOFFCE09CA,25.0,73.42,住商用,鋼筋混凝土造,1983年6月6日,七層,一層 二層 騎樓
1285,RPWOMLOJPHOFFCE09CA,25.0,11.31,見使用執照,鋼筋混凝土造,1983年6月6日,七層,nan
1286,RPQNMLOKPHOFFBE38CA,41.0,94.55,nan,鋼筋混凝土造,1967年10月12日,五層,三層
1287,RPXNMLTLPHOFFBE07CA,31.0,124.68,nan,鋼筋混凝土造,1976年12月29日,五層,一層 二層 陽台 騎樓 夾層
1288,RPQOMLPKPHOFFAE48CA,43.0,445.86,nan,鋼筋混凝土造,1965年9月18日,五層,一層 二層 三層 四層 五層 騎樓 地下層
1289,RPQNMLNLPHOFFAE28CA,42.0,82.27,nan,鋼筋混凝土造,1966年1月29日,八層,一層 騎樓
1290,RPPNMLQKPHOFFAE38CA,7.0,85.09,住家用,鋼筋混凝土造,101年11月21日,十五層,五層 陽台 雨遮
1291,RPPNMLQKPHOFFAE38CA,7.0,57.75,本共有部分之項目有屋頂突出物、樓梯間、防空避難室兼停車空間、門廳、車道、管委會使用空間、頂蓋型廣場式開放空間、公共服務空間等８項。,鋼筋混凝土造,101年11月21日,十五層,nan
1292,RPVOMLPJPHOFFAE88CA,45.0,97.44,nan,鋼筋混凝土造,1963年8月22日,四層,一層
1293,RPXNMLKMPHOFFAE78CA,3.0,258.19,集合住宅,鋼筋混凝土,105年1月5日,十九層,九層 陽台 雨遮
1294,RPXNMLKMPHOFFAE78CA,3.0,139.23,本共有部分之項目有防空避難室兼停車空間、電樓梯間、投影面積、防災中心、管委會使用空間、中繼層設備空間、管理員室、出入口緩衝空間、樓梯間、機械室、水箱等１１項。,鋼筋混凝土,105年1月5日,十九層,nan
1295,RPXNMLSJPHOFFBE76CA,26.0,128.91,住商用,鋼筋混凝土造,1982年10月29日,十層,一層 騎樓 夾層
1296,RPXNMLSJPHOFFBE76CA,26.0,40.08,見使用執照,鋼筋混凝土造,1982年10月29日,十層,nan
1297,RPQNMLTJPHOFFCE88CA,24.0,107.61,住家用,鋼筋混凝土造,1984年7月27日,十四層,十三層 陽台 花台
1298,RPQNMLTJPHOFFCE88CA,24.0,10.87,見使用執照,鋼筋混凝土造,1984年7月27日,十四層,nan
1299,RPTNMLSJPHOFFDE56CA,38.0,60.57,nan,鋼筋混凝土造,1970年1月24日,五層,四層
1300,RPVNMLTJPHOFFDE86CA,25.0,82.73,住家用,鋼筋混凝土造,1983年5月28日,八層,六層 陽台 電梯樓梯間 見使用執照
1301,RPVNMLTJPHOFFDE86CA,25.0,25.14,見使用執照,鋼筋混凝土造,1983年5月28日,八層,nan
1302,RPTOMLKMPHOFFDE78CA,1.0,69.21,集合住宅,鋼筋混凝土造,107年10月31日,二十九層,五層 陽台
1303,RPTOMLKMPHOFFDE78CA,1.0,73.93,共有部份,鋼筋混凝土造,107年10月31日,二十九層,nan
1304,RPVQMLNLPHOFFDE76CA,25.0,209.1,住家用,鋼筋混凝土造,1983年9月26日,十二層,二層 陽台 電梯樓梯間 露台
1305,RPVQMLNLPHOFFDE76CA,25.0,24.37,見使用執照,鋼筋混凝土造,1983年9月26日,十二層,nan
1306,RPWQMLKKPHOFFEE56CA,37.0,82.82,nan,鋼筋混凝土造,1970年12月22日,五層,一層 二層 騎樓
1307,RPWNMLPKPHOFFEE76CA,14.0,173.58,住家用,鋼筋混凝土造,1994年2月25日,四層,一層 二層 三層 四層 陽台
1308,RPUNMLMKPHOFFGE09CA,41.0,169.2,住商用,鋼筋混凝土造,1967年5月21日,三層,一層 二層 三層 騎樓 地下層
1309,RPSNMLLKPHOFFGE78CA,25.0,112.64,住商用,鋼筋混凝土造,1983年9月23日,十五層,一層 二層 陽台 平台 騎樓 夾層
1310,RPSNMLLKPHOFFGE78CA,25.0,15.63,共有部份,鋼筋混凝土造,1983年9月23日,十五層,nan
