編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
RPVOMLOLNHOFFFA88CA,通化段一小段,1.96,都市：其他:道路用地,37550,3502,持分移轉,3810000
RPVOMLOLNHOFFFA88CA,通化段一小段,8.58,都市：其他:道路用地,37550,3502,持分移轉,3820000
RPVOMLOLNHOFFFA88CA,通化段一小段,3.26,都市：其他:道路用地,37550,3502,持分移轉,3840000
RPVOMLOLNHOFFFA88CA,通化段一小段,1.25,都市：其他:道路用地,2500,53,持分移轉,4060000
RPVOMLOLNHOFFFA88CA,仁愛段四小段,0.91,都市：其他:道路用地,90,1,持分移轉,1900000
RPVNMLPKNHOFFFA78CA,復興段三小段,0.02,都市：商,10000,28,持分移轉,2230001
RPVNMLPKNHOFFFA78CA,復興段三小段,9.39,都市：商,10000,28,持分移轉,2990000
RPRPMLNJOHOFFFA48DA,金華段二小段,12.56,都市：商,10000,323,持分移轉,5970000
RPRPMLNJOHOFFFA48DA,金華段二小段,3.29,都市：商,10000,323,持分移轉,6000000
RPXNMLPKNHOFFFA98CA,仁愛段六小段,28.83,都市：住,10000,271,持分移轉,6160007
RPUOMLLLNHOFFFA48CA,懷生段一小段,2.83,都市：其他:道路用地,12,1,持分移轉,4550000
RPUOMLLLNHOFFFA48CA,懷生段一小段,26.75,都市：住,12,1,持分移轉,4560000
RPUOMLLLNHOFFFA48CA,懷生段一小段,2.83,都市：其他:道路用地,12,1,持分移轉,4570000
RPPNMLQKNHOFFFA28CA,仁愛段六小段,27.25,都市：住,8,1,持分移轉,4630000
RPVSMLOKNHOFFFA56CA,懷生段二小段,31.92,都市：住,10000,222,持分移轉,5180000
RPQOMLOLNHOFFEA28CA,陽明段四小段,55.37,都市：住,10000,162,持分移轉,7400000
RPQOMLMKOHOFFDA08DA,敦化段二小段,11.55,都市：住,11200,298,持分移轉,1430000
RPQOMLMKOHOFFDA08DA,敦化段二小段,0.53,都市：住,11200,298,持分移轉,1460000
RPQOMLMKOHOFFDA08DA,敦化段二小段,1.54,都市：住,11200,298,持分移轉,1450000
RPROMLNLNHOFFEA28CA,陽明段四小段,3.42,都市：住,10000,10,持分移轉,7400000
RPRNMLMKOHOFFDA08DA,敦化段一小段,6.42,都市：住,20000,298,持分移轉,6500000
RPPQMLSLNHOFFEA78CA,文林段三小段,0.34,都市：住,10000,7,持分移轉,9690000
RPWNMLKLNHOFFEA38CA,溪洲段三小段,210.5,都市：住,56,7,持分移轉,2250000
RPTNMLMLNHOFFEA28CA,立農段五小段,40.88,都市：住,10000,130,持分移轉,6260000
RPTQMLPKNHOFFEA78CA,芝山段一小段,32.3,都市：住,10000,50,持分移轉,2930000
RPUQMLPKNHOFFEA88CA,溫泉段一小段,4.37,都市：商,10000,46,持分移轉,2590000
RPUQMLPKNHOFFEA88CA,溫泉段一小段,8.43,都市：住,10000,46,持分移轉,2630000
RPTOMLOKNHOFFEA48CA,芝山段一小段,27.1,都市：住,127912,10440,持分移轉,4070000
RPOQMLPKNHOFFEA28CA,新民段二小段,2.69,都市：其他:特定觀光商業專用區,10000,44,持分移轉,5480000
RPPPMLOKNHOFFEA18CA,新民段四小段,31.25,都市：其他:特定休閒旅館住宅專用區,8,1,持分移轉,800000
RPTOMLTLNHOFFAA78DA,木柵段三小段,13.92,都市：住,20000,196,持分移轉,6720001
RPVNMLPKNHOFFEA68CA,天母段三小段,27.33,都市：住,100000,10554,持分移轉,3440000
RPWNMLOJOHOFFEA68CA,桃源段一小段,50,都市：住,1,1,全筆移轉,910000
RPUPMLOKNHOFFEA68CA,振興段三小段,4.95,都市：住,10000,208,持分移轉,4080000
RPUPMLOKNHOFFEA68CA,振興段三小段,5.43,都市：住,10000,208,持分移轉,4090000
RPUPMLOKNHOFFEA68CA,振興段三小段,2.74,都市：住,10000,249,持分移轉,4100000
RPUPMLOKNHOFFEA68CA,振興段三小段,3.76,都市：住,10000,208,持分移轉,4110000
RPUPMLOKNHOFFEA68CA,振興段三小段,0.02,都市：住,10000,208,持分移轉,4120000
RPTNMLPKNHOFFEA48CA,天山段二小段,28.4,都市：住,10,1,持分移轉,4320000
RPOQMLMKOHOFFDA97CA,延吉段三小段,21.38,都市：住,10000,76,持分移轉,2480000
RPQQMLMKOHOFFDA18CA,寶清段四小段,3.64,都市：其他:聯合開發區,100000,181,持分移轉,5990000
RPPNMLRKNHOFFEA28CA,豐年段四小段,27.39,都市：其他:科技工業區,100000,359,持分移轉,4340000
RPVOMLQKNHOFFEA88CA,光華段一小段,40.22,都市：商,74000,1886,持分移轉,580000
RPUOMLQKNHOFFEA78CA,光華段一小段,39.44,都市：商,74000,1849,持分移轉,580000
RPVNMLRLNHOFFDA88CA,寶清段二小段,3.49,都市：商,10000,28,持分移轉,2150000
RPRNMLLJOHOFFBA67DA,福星段二小段,23.92,都市：商,19200,820,持分移轉,1340000
RPRNMLTLNHOFFDA68CA,寶清段二小段,14.96,都市：商,10000,275,持分移轉,3820000
RPTOMLPJOHOFFEA58CA,三玉段三小段,102.67,都市：其他:公共設施用地,3,2,持分移轉,4120000
RPTOMLPJOHOFFEA58CA,三玉段三小段,8,都市：其他:公共設施用地,3,2,持分移轉,4120001
RPTNMLRKNHOFFDA58CA,虎林段四小段,3.52,都市：住,100000,200,持分移轉,9410000
RPPNMLKLNHOFFDA57CA,民生段,27.7,都市：住,75011,1621,持分移轉,410000
RPTOMLNKOHOFFDA38CA,寶清段七小段,15.34,都市：商,100000000,594661,持分移轉,7430000
RPXPMLPKNHOFFDA98CA,敦化段二小段,5.67,都市：商,10000,21,持分移轉,5090000
RPXPMLPKNHOFFDA98CA,敦化段二小段,1.44,都市：商,10000,21,持分移轉,5090001
RPXPMLPKNHOFFDA98CA,敦化段二小段,0.01,都市：其他:道路用地(公共設施用地),10000,21,持分移轉,5090002
RPOQMLPKNHOFFDA18CA,西松段一小段,43.05,都市：住,100000,365,持分移轉,120000
RPQQMLPKNHOFFDA38CA,美仁段一小段,1.14,都市：住,75000,66,持分移轉,180005
RPQQMLPKNHOFFDA38CA,美仁段一小段,1.67,都市：住,863000,116,持分移轉,20001
